sampleID	measurement1	measurement2	measurement3
1	4460000000.0	4750000000.0	6930000000.0
2	11600000000.0	4840000000.0	5380000000.0
3	5940000000.0	13200000000.0	8790000000.0
4	4760000000.0	5120000000.0	2270000000.0
5	7650000000.0	2690000000.0	2890000000.0
6	253000000.0	1820000000.0	4210000000.0
7	5310000000.0	2520000000.0	3120000000.0
8	1500000000.0	3090000000.0	7760000000.0
9	3110000000.0	17200000000.0	3530000000.0
10	5000000000.0	6910000000.0	11700000000.0
11	5440000000.0	6000000000.0	6510000000.0
12	12200000000.0	10300000000.0	5990000000.0
13	5360000000.0	3890000000.0	5830000000.0
14	2780000000.0	2930000000.0	503000000.0
15	2070000000.0	3990000000.0	5440000000.0
16	2540000000.0	3070000000.0	1680000000.0
17	4230000000.0	9670000000.0	3480000000.0
18	17300000000.0	4380000000.0	4780000000.0
19	6420000000.0	9760000000.0	5960000000.0
20	6370000000.0	6490000000.0	10800000000.0
21	8130000000.0	6290000000.0	5710000000.0
22	3760000000.0	9560000000.0	2930000000.0
23	4140000000.0	502000000.0	2360000000.0
24	4980000000.0	5160000000.0	2050000000.0
25	3660000000.0	1510000000.0	7060000000.0
26	15600000000.0	11200000000.0	16600000000.0
27	4470000000.0	3390000000.0	5030000000.0
28	5010000000.0	9820000000.0	3620000000.0
29	12700000000.0	7390000000.0	8310000000.0
30	4060000000.0	6120000000.0	2280000000.0
31	3220000000.0	2610000000.0	3120000000.0
32	663000000.0	3380000000.0	3230000000.0
33	5420000000.0	2100000000.0	4950000000.0
34	3000000000.0	2260000000.0	13000000000.0
35	4860000000.0	8780000000.0	4410000000.0
36	3150000000.0	5120000000.0	5330000000.0
37	10400000000.0	5300000000.0	10900000000.0
38	6380000000.0	10400000000.0	4210000000.0
39	6480000000.0	2850000000.0	5020000000.0
40	3990000000.0	5440000000.0	940000000.0
41	3260000000.0	2980000000.0	4510000000.0
42	2600000000.0	5320000000.0	2820000000.0
43	2810000000.0	19700000000.0	3760000000.0
44	12800000000.0	4190000000.0	3370000000.0
45	4110000000.0	5740000000.0	10400000000.0
46	5170000000.0	11700000000.0	5710000000.0
47	10600000000.0	4310000000.0	6860000000.0
48	3140000000.0	4320000000.0	4990000000.0
49	6620000000.0	1340000000.0	3530000000.0
50	3020000000.0	3760000000.0	2590000000.0
51	5140000000.0	2940000000.0	3070000000.0
52	20200000000.0	3490000000.0	18500000000.0
53	6650000000.0	5400000000.0	3020000000.0
54	13200000000.0	15800000000.0	8770000000.0
55	2210000000.0	9810000000.0	15600000000.0
56	4120000000.0	3920000000.0	6370000000.0
57	5410000000.0	3440000000.0	5960000000.0
58	1420000000.0	2640000000.0	538000000.0
59	4420000000.0	4120000000.0	10500000000.0
60	2020000000.0	5130000000.0	2330000000.0
61	2600000000.0	4690000000.0	5710000000.0
62	5490000000.0	3550000000.0	16000000000.0
63	15000000000.0	7570000000.0	2400000000.0
64	12400000000.0	16300000000.0	3780000000.0
65	3500000000.0	5750000000.0	4300000000.0
66	3760000000.0	6870000000.0	703000000.0
67	2180000000.0	633000000.0	5620000000.0
68	4780000000.0	9950000000.0	3790000000.0
69	5720000000.0	3250000000.0	2390000000.0
70	5060000000.0	4320000000.0	4440000000.0
71	4160000000.0	15700000000.0	13700000000.0
72	8560000000.0	1680000000.0	13700000000.0
73	16900000000.0	3860000000.0	3700000000.0
74	6950000000.0	2630000000.0	7960000000.0
75	7010000000.0	884000000.0	2310000000.0
76	625000000.0	6500000000.0	5140000000.0
77	9360000000.0	4040000000.0	7010000000.0
78	6900000000.0	3200000000.0	5080000000.0
79	3200000000.0	1660000000.0	2910000000.0
80	2310000000.0	16700000000.0	9830000000.0
81	4940000000.0	11300000000.0	16000000000.0
82	9930000000.0	3290000000.0	8620000000.0
83	1180000000.0	4710000000.0	4330000000.0
84	1720000000.0	3100000000.0	3550000000.0
85	2500000000.0	3570000000.0	6370000000.0
86	1940000000.0	2120000000.0	7550000000.0
87	9530000000.0	4220000000.0	3260000000.0
88	1980000000.0	3260000000.0	1970000000.0
