name	time	type
Otu1	0.0	bacteria
Otu2	0.0	bacteria
Otu3	28.9	bacteria
Otu4	0.0	bacteria
Otu5	0.0	bacteria
Otu6	0.0	bacteria
Otu7	0.0	bacteria
Otu8	0.0	bacteria
Otu9	0.0	bacteria
Otu10	0.0	bacteria
Otu11	0.0	bacteria
Otu12	0.0	bacteria
Otu13	0.0	bacteria
Otu14	0.0	bacteria
Otu15	0.0	bacteria
Otu16	0.0	bacteria
Otu17	0.0	bacteria
Otu18	0.0	bacteria
Otu19	0.0	bacteria
Otu20	0.0	bacteria
Otu21	0.0	bacteria
Otu22	0.0	bacteria
Otu23	0.0	bacteria
